CC,Site,PID,ICRAFPID,Lon,Lat
AO,Luimbale,AO-0RS2Fg,Luimbale-3-1,15.152003,-12.316283
AO,Luimbale,AO-10kMiD,Luimbale-12-1,15.195468,-12.295335
AO,Bimbe,AO-2EwYM5,Bimbe-12-1,15.925227,-11.703223
AO,Mucope,AO-2SLdm7,Mucope-9-1,14.930115,-16.263547
AO,Sanza Pompo,AO-4FTQuD,Sanza Pompo-3-1,15.687965,-7.331673
AO,Mucope,AO-7gUTwj,Mucope-13-1,14.958435,-16.268775
AO,Bimbe,AO-7Kj4Pi,Bimbe-2-1,15.877742,-11.750448
AO,Sanza Pompo,AO-85UcOd,Sanza Pompo-5-1,15.719655,-7.373935
AO,Mucope,AO-8MOvQw,Mucope-4-1,14.873357,-16.196175
AO,Luimbale,AO-8OOJ4w,Luimbale-16-1,15.223423,-12.297238
AO,Bimbe,AO-AsfO0B,Bimbe-11-1,15.929552,-11.72815
AO,Sanza Pompo,AO-av32NN,Sanza Pompo-16-2,15.760667,-7.31389
AO,Luimbale,AO-b6Infu,Luimbale-13-1,15.216922,-12.357305
AO,Sanza Pompo,AO-BUowyi,Sanza Pompo-4-1,15.691478,-7.315182
AO,Bimbe,AO-CLO1K7,Bimbe-14-1,15.952403,-11.754247
AO,Mucope,AO-COly0I,Mucope-8-1,14.899182,-16.198942
AO,Luimbale,AO-d82HFT,Luimbale-11-1,15.2063,-12.318557
AO,Luimbale,AO-DKW2Me,Luimbale-10-1,15.190278,-12.345895
AO,Mucope,AO-dMZ2dP,Mucope-2-1,14.884687,-16.244708
AO,Sanza Pompo,AO-EB6pP5,Sanza Pompo-8-1,15.717857,-7.31065
AO,Sanza Pompo,AO-ehByHw,Sanza Pompo-2-1,15.687817,-7.351243
AO,Luimbale,AO-eKdQxc,Luimbale-8-1,15.17505,-12.297935
AO,Sanza Pompo,AO-FpNC0z,Sanza Pompo-9-1,15.738188,-7.372465
AO,Mucope,AO-GcL00m,Mucope-7-1,14.89889,-16.225095
AO,Mucope,AO-gQNEPl,Mucope-3-1,14.88083,-16.216113
AO,Sanza Pompo,AO-GsSz5S,Sanza Pompo-6-1,15.717373,-7.356638
AO,Sanza Pompo,AO-h16E3R,Sanza Pompo-11-1,15.730588,-7.337718
AO,Bimbe,AO-HhW0EE,Bimbe-13-1,15.953628,-11.776078
AO,Sanza Pompo,AO-HjD41L,Sanza Pompo-12-1,15.740033,-7.315528
AO,Mucope,AO-HoRU9L,Mucope-15-1,14.945962,-16.221305
AO,Mucope,AO-HZovgv,Mucope-11-1,14.93248,-16.219212
AO,Luimbale,AO-iUZtsy,Luimbale-1-1,15.143883,-12.35919
AO,Mucope,AO-kQBILA,Mucope-5-1,14.899807,-16.267197
AO,Bimbe,AO-l1MeNh,Bimbe-5-1,15.909022,-11.773402
AO,Luimbale,AO-LcSVL0,Luimbale-7-1,15.174082,-12.31856
AO,Luimbale,AO-LfOifc,Luimbale-2-1,15.143603,-12.339873
AO,Mucope,AO-MBgBRt,Mucope-6-1,14.904588,-16.24029
AO,Sanza Pompo,AO-mPovUR,Sanza Pompo-1-1,15.687492,-7.37775
AO,Sanza Pompo,AO-mShTdI,Sanza Pompo-14-1,15.76168,-7.359855
AO,Bimbe,AO-NGL0EQ,Bimbe-3-1,15.885267,-11.723247
AO,Bimbe,AO-nHrGvb,Bimbe-4-1,15.88675,-11.704137
AO,Sanza Pompo,AO-oJa45z,Sanza Pompo-13-1,15.762953,-7.372682
AO,Sanza Pompo,AO-qVuhxL,Sanza Pompo-15-1,15.760787,-7.333075
AO,Mucope,AO-rcifnj,Mucope-16-1,14.951287,-16.20006
AO,Sanza Pompo,AO-RCuxFJ,Sanza Pompo-7-1,15.719097,-7.340812
AO,Mucope,AO-Rgapoi,Mucope-10-1,14.928503,-16.244733
AO,Sanza Pompo,AO-RhnxZI,Sanza Pompo-4-10,15.695082,-7.315402
AO,Bimbe,AO-rspztk,Bimbe-1-2,15.875412,-11.772835
AO,Luimbale,AO-StsPDg,Luimbale-14-1,15.221827,-12.327523
AO,Luimbale,AO-sySTDx,Luimbale-5-1,15.161757,-12.3554
AO,Luimbale,AO-T9CcZx,Luimbale-4-2,15.147417,-12.30484
AO,Luimbale,AO-TbOR2y,Luimbale-6-1,15.175478,-12.34284
AO,Mucope,AO-uIigzz,Mucope-12-1,14.922573,-16.203565
