PID,SSN,Depth,C,N,P,K,S,Ca,Mg
AO-0RS2Fg,icr073340,10,17025,1056,11.8,123.0,7.1,565.0,102.0
AO-0RS2Fg,icr073341,35,5055,320,2.6,55.2,4.5,441.0,67.7
AO-10kMiD,icr073519,10,10114,634,3.5,69.2,5.3,352.0,85.2
AO-10kMiD,icr073520,35,5518,351,1.6,43.0,5.0,282.0,67.4
AO-2EwYM5,icr073168,10,11152,630,6.4,31.6,7.0,232.0,58.2
AO-2EwYM5,icr073169,35,6224,373,4.0,61.1,6.0,174.0,67.0
AO-2SLdm7,icr072756,10,3958,265,4.6,57.8,4.6,303.0,41.2
AO-2SLdm7,icr072757,35,2299,148,2.5,43.7,6.0,241.0,41.7
AO-4FTQuD,icr072286,10,13140,644,7.8,33.2,7.7,16.1,5.2
AO-4FTQuD,icr072287,35,7048,356,3.7,6.7,6.2,16.1,6.0
AO-7gUTwj,icr072836,10,4757,318,4.1,105.0,3.5,682.0,146.0
AO-7gUTwj,icr072837,35,2823,172,1.8,179.0,4.0,830.0,273.0
AO-7Kj4Pi,icr072968,10,12959,728,92.9,131.0,6.9,684.0,181.0
AO-7Kj4Pi,icr072969,35,6011,363,17.1,131.0,6.3,281.0,111.0
AO-85UcOd,icr072326,10,6359,345,3.0,7.1,8.6,150.0,36.0
AO-8MOvQw,icr072656,10,3720,203,2.4,96.7,4.5,1250.0,330.0
AO-8MOvQw,icr072657,35,3018,200,2.0,61.8,5.0,1830.0,398.0
AO-8OOJ4w,icr073598,10,8703,471,3.5,80.2,6.8,494.0,116.0
AO-8OOJ4w,icr073599,35,4853,302,2.7,67.5,4.6,337.0,85.0
AO-AsfO0B,icr073148,10,6004,350,6.0,41.2,7.9,200.0,50.5
AO-AsfO0B,icr073149,35,5198,279,2.5,21.0,5.2,197.0,55.2
AO-av32NN,icr072544,10,26800,2032,40.2,137.0,13.4,147.0,47.6
AO-av32NN,icr072545,35,11107,661,13.4,38.0,9.2,102.0,27.3
AO-b6Infu,icr073539,10,13290,659,7.9,135.0,7.2,153.0,78.2
AO-b6Infu,icr073540,35,6018,363,3.2,76.2,5.9,102.0,47.7
