SSN,Alx,Px,Kx,Sx
icr005928,34709,41,11886,28
icr005929,38855,41,13316,28
icr005946,43473,41,11334,28
icr005947,40519,41,10694,28
icr005965,37619,78,12412,28
icr005966,40248,66,12892,28
icr005985,36766,41,16840,28
icr005986,37912,41,16818,28
icr005998,37360,41,17578,28
icr005999,41038,61,18143,28
icr006015,40715,41,20272,28
icr006016,40377,41,18913,28
icr006035,33151,41,22448,28
icr006036,39966,41,22433,28
icr006055,40297,41,24018,28
icr006056,43715,41,24541,28
icr006076,41404,41,21153,28
icr006077,46210,51,24575,28
icr006085,41527,41,21612,28
icr006086,40209,41,23007,28
icr006101,46386,41,22718,28
icr006102,41731,57,21524,28
icr006121,38149,41,17014,28
icr006122,32060,41,15406,28
icr006142,33566,41,16200,28
icr006143,38091,55,17006,28
icr006152,34554,41,18758,28
icr006153,36405,116,18179,28
icr006164,43625,41,17338,28
icr006165,41119,146,15622,28
icr006179,37628,267,24341,28
icr006180,40269,210,25271,28
icr006454,23370,41,15926,28
icr006455,28742,41,20421,28
icr006474,24137,41,12817,28
icr006475,31450,41,12991,28
icr006492,35633,41,22146,28
icr006493,38856,41,20829,28
icr006510,27116,41,11791,28
icr006511,31849,41,9933,28
icr006530,31045,41,9818,28
icr006531,42855,41,11488,28
icr006550,36824,41,14767,28
icr006551,37262,41,14415,28
icr006570,22707,41,12202,28
icr006571,28167,41,13012,28
icr006586,39203,41,15173,28
icr006587,43565,58,15932,28
icr006606,25552,41,8627,28
icr006607,33110,41,7876,28
icr006626,31013,41,16345,28
icr006627,37844,41,14465,28
icr006646,32791,41,13622,28
icr006647,35767,41,12815,28
icr006666,28332,41,7496,28
icr006667,30639,41,7120,28
icr006684,27170,41,9897,28
icr006685,30852,41,10149,28
icr006704,33457,41,14262,28
icr006705,37648,41,12277,28
icr006724,27344,41,8381,28
icr006725,34103,41,8138,28
icr006744,28277,41,28079,28
icr006745,29062,41,26627,28
icr007730,48503,41,24523,28
icr007731,47428,41,19364,28
icr007750,38567,41,18141,28
icr007751,35828,41,16551,28
icr007770,33527,41,15423,28
icr007771,27858,41,13223,28
icr007790,49357,41,19364,28
icr007791,54317,41,18074,28
icr007810,63020,41,21267,28
icr007811,62933,41,17921,28
icr007830,53688,41,6855,28
icr007831,59886,50,6745,28
icr007850,26507,41,22078,28
icr007851,25646,41,21833,28
icr007870,17173,41,10740,28
icr007871,19412,43,11242,28
icr007890,57531,67,8388,28
icr007891,59411,69,8443,28
icr007910,46787,41,38783,28
icr007911,48317,41,34348,28
icr007928,34763,41,16826,28
icr007929,33392,41,14487,28
icr007949,29920,41,21360,28
icr007950,31012,41,19267,28
icr007967,63149,41,11571,28
icr007968,75523,41,8562,28
icr007987,57219,41,13117,28
icr007988,52498,41,12934,28
icr008007,41380,41,10470,28
icr008008,48989,41,10146,28
icr008027,19192,41,14474,28
icr008028,20885,41,15170,28
icr009918,39259,698,2971,28
icr009919,38886,472,2683,28
icr009938,46704,308,1048,28
icr009939,42659,297,865,28
