Lat,Lon,BP,CP,WP
-18.0962,29.4588,0,0,0
-8.023548,37.337498,0,0,0
-24.175445,34.399385,0,0,1
-7.337718,15.730588,0,0,0
10.521368,-13.380262,0,1,0
-11.700067,15.9523,0,1,1
-18.3471,48.6935,0,0,1
-7.356638,15.717373,0,0,0
-17.8564,31.8759,0,1,0
10.497298,-13.422322,0,1,0
9.574855,42.666794,0,1,0
-1.730332,35.775276,0,0,0
6.711953,-1.260205,0,0,1
8.578802,35.022572,0,0,0
-19.3945,22.0855,0,0,1
-16.109833,38.938123,0,1,0
-18.977533,46.659112,0,1,0
-6.90524,36.1372,0,0,1
-19.392763,28.802128,0,0,0
-29.8085,23.9044,0,0,0
14.858365,-7.82084,0,0,0
-27.6154,30.0861,0,0,0
-22.800213,35.33732,0,1,0
13.389917,1.77919,0,0,0
-27.5834,30.0894,0,1,0
-9.15515,29.6233,0,0,1
5.232538,10.271853,0,0,1
-9.20366,29.6761,0,0,1
10.928688,-2.664413,0,1,0
-1.73155,35.844856,0,0,1
-18.0911,29.4842,0,0,0
-14.726465,39.840907,0,0,0
11.328987,39.643738,0,1,0
-11.653778,34.248108,1,0,1
11.905108,-13.13042,0,0,0
-13.062363,28.48207,0,1,0
-16.174298,38.962908,0,0,0
-6.897945,34.17971,0,0,0
10.921477,-2.616638,0,1,0
-8.001733,37.295639,0,0,0
-21.7779,26.4554,0,0,0
-3.05848,33.065014,0,1,0
11.301687,-5.48807,0,0,1
10.537048,-13.427973,0,0,0
-9.14041,29.689,0,0,1
-5.30758,37.47094,0,0,1
-17.8659,31.8962,0,0,0
10.868568,-2.663827,0,0,0
8.13086,9.857668,0,1,1
-21.7756,26.5008,0,0,0
1.480643,31.513555,0,1,0
-11.0597,35.126598,1,1,0
1.456968,31.533708,0,1,0
9.616448,42.708038,1,1,0
-18.2763,48.7363,0,0,1
11.287575,39.639381,0,0,1
-24.242897,34.371873,0,0,1
-12.349295,15.202647,0,0,1
9.170197,5.738132,0,1,0
-13.122653,28.491412,1,1,0
8.173488,9.927748,0,1,0
-6.89882,34.240738,0,0,0
10.916732,-2.6396,0,1,0
