"GID","x","y","SSN","Site","Lat","Lon","Depth","C","N","P","K","S","Ca","Mg","Fv","V1","V2","V3","V4","V5","V6","V7","BP","CP","WP"
"E10152-S25436",1015124.82218831,-2543560.22654273,"icr073988","Gambisa",-18.142,29.4097,10,7506,697,47.1,214,5.7,845,134,990551.2,-14.6439957088253,-12.3264087135745,-4.92639428602978,0.212818568151045,2.11180682618187,1.84149682740626,2.37667256893444,0,1,0
"E10152-S25436",1015124.82218831,-2543560.22654273,"icr073989","Gambisa",-18.142,29.4097,35,6071,573,28.1,235,5.2,658,154,992275.7,-14.9054895789071,-12.157027526796,-5.64630336436903,0.288439461992202,1.68711095075232,1.45225232891169,2.36039289841569,0,1,0
"E10154-S25353",1015371.72740667,-2535289.81005272,"icr074030","Gambisa",-18.066,29.4092,10,8355,779,3.9,139,7.5,840,294,989581.6,-15.0548252231827,-13.7941660056911,-7.6979511237037,-1.20488283112018,-0.653926467406665,1.04982212449868,2.37260439515875,0,0,1
"E10154-S25353",1015371.72740667,-2535289.81005272,"icr074031","Gambisa",-18.066,29.4092,35,7083,704,10,97.7,12.8,3220,563,988309.5,-14.3399197589823,-11.4792570141435,-7.5064962545145,-3.19472340033665,-0.246860077931526,1.74385701039876,2.30867446959558,0,0,1
"E10159-S25402",1015893.90362849,-2540177.66082658,"icr074002","Gambisa",-18.1109,29.4157,10,12817,914,9.3,262,8.7,323,213,985453,-14.8072530766691,-14.3674223703988,-5.91672139229751,0.826630189404938,0.0666913744986726,0.41636015751323,2.64069712227567,0,0,1
"E10159-S25402",1015893.90362849,-2540177.66082658,"icr074003","Gambisa",-18.1109,29.4157,35,8828,793,4.7,319,8.3,253,278,989516,-15.070817944501,-13.9801739845686,-6.99282144025821,0.87374274179291,-0.568693006086539,-0.0942316249631165,2.40986054574178,0,0,1
"E10160-S25385",1015936.1186456,-2538425.60215711,"icr074018","Gambisa",-18.0948,29.4155,10,6256,519,5.3,80.9,8.7,235,105,992790.1,-15.8317330218013,-14.3326347211819,-4.78332181202231,0.172075989887972,-0.495616205102461,0.805625163986637,2.48939239905926,0,0,1
"E10160-S25385",1015936.1186456,-2538425.60215711,"icr074019","Gambisa",-18.0948,29.4155,35,4903,517,3.1,99.2,8.3,126,115,994228.4,-16.1241001433377,-14.5626522390009,-5.18302225706509,0.763596145222918,-0.984853403311451,0.0913497785882278,2.2495596671428,0,0,1
"E10176-S25354",1017556.02618292,-2535327.78265098,"icr074102","Gambisa",-18.0663,29.4295,10,14606,1073,10.5,205,15.8,2010,643,981436.7,-13.8758945640091,-12.6374480696599,-7.4248339917412,-1.89019923066078,-0.408634682869444,1.1397452768155,2.61097393954936,0,1,0
"E10176-S25354",1017556.02618292,-2535327.78265098,"icr074103","Gambisa",-18.0663,29.4295,35,13601,1021,6.3,135,11.4,1950,606,982669.3,-14.2444641605893,-13.3119215410577,-7.93778058415967,-2.40139401608075,-0.593063722002963,1.16870466548848,2.58936078026809,0,1,0
"E10179-S25431",1017835.38260547,-2543022.86123385,"icr074045","Gambisa",-18.137,29.4347,10,9472,885,5.8,106,10.5,192,112,989216.7,-15.4855828408575,-15.3786483191429,-4.46832288633177,0.74932212717651,-0.593517339611104,0.538996500732688,2.37050771211586,0,0,1
"E10179-S25431",1017835.38260547,-2543022.86123385,"icr074046","Gambisa",-18.137,29.4347,35,8148,799,4.2,86,9.9,181,122,990649.9,-15.6923604804636,-15.3842127618708,-4.76930985867597,0.411765451401176,-0.857450231851221,0.394475986532569,2.32216683158042,0,0,1
"E10181-S25375",1018081.67527376,-2537451.3742352,"icr074082","Gambisa",-18.0858,29.4351,10,12684,797,2.3,146,7.1,3260,1330,981773.6,-14.3479583843221,-12.9393345462712,-10.8498825916058,-3.67567325517154,-1.12718566111217,0.896548253144954,2.76724195686802,0,0,0
"E10181-S25375",1018081.67527376,-2537451.3742352,"icr074083","Gambisa",-18.0858,29.4351,35,9542,523,1.7,88.2,6.1,3660,1470,984709,-14.7152275434181,-12.4337427786925,-11.1964383736149,-4.57614146983082,-1.2776605201171,0.912200746622631,2.90387692201113,0,0,0
"E10183-S25409",1018216.62670699,-2540836.38034507,"icr074062","Gambisa",-18.1169,29.4375,10,8242,653,2.9,137,7.7,89,242,990626.4,-15.7851469290819,-15.2356472078713,-5.87810467110986,0.855926114694323,-0.97650959186721,-1.00030135642455,2.53542118262233,0,0,1
"E10183-S25409",1018216.62670699,-2540836.38034507,"icr074063","Gambisa",-18.1169,29.4375,35,5255,459,1.5,63.2,9.4,65.2,306,993840.7,-16.3189540789472,-14.952027339207,-5.75131890290123,-0.104885097979732,-1.83524458116779,-1.54612563301977,2.43788507325051,0,0,1
"E10201-S25432",1020026.59942707,-2543148.04076219,"icr074122","Gambisa",-18.1381,29.4551,10,11133,977,2.8,119,8.9,1060,378,986321.3,-14.8785734816194,-14.3937951373026,-8.10192048015545,-1.75934418785165,-1.15643185955694,1.03112999148652,2.43318229768592,0,0,0
"E10201-S25432",1020026.59942707,-2543148.04076219,"icr074123","Gambisa",-18.1381,29.4551,35,7558,826,3.3,84.2,10.8,487,410,990620.7,-15.1961418758371,-14.059920023076,-6.85613154400079,-1.56321030410684,-1.18562366565774,0.172106963384237,2.21376711038846,0,0,0
"E10202-S25406",1020132.9215703,-2540536.40932176,"icr074140","Gambisa",-18.1141,29.4552,10,9744,823,5.8,138,9.2,1220,346,987714,-14.7168290094513,-13.3742050603209,-7.4585032399203,-1.58105727121325,-0.46134556650262,1.26016736266958,2.47145078927261,0,0,0
