SSN,Al,B,Cu,Fe,Mn,Zn
icr005928,747.2,0.414,1.244,80.02,107.2,2.034
icr005929,852.3,0.2954,1.317,92.18,114.5,2.058
icr005946,594.7,0.1794,1.031,85.29,63,1.275
icr005947,517,0.1328,0.7326,72.55,35.34,1.795
icr005965,601.6,0.6949,1.635,60.15,129.4,1.281
icr005966,961.4,0.5955,1.866,123.4,166.1,1.484
icr005985,765.6,1.625,3.257,98.46,124.7,2.25
icr005986,195.2,1.165,3.834,39.04,130,2.081
icr005998,730.7,0.5476,1.515,174.5,124.2,1.667
icr005999,787.3,0.2145,1.369,148.2,85.84,2.303
icr006015,740.6,0.427,2.022,98.25,193,2.326
icr006016,836,0.5616,2.003,125.4,210.9,2.028
icr006035,604.4,0.2876,0.7834,93.92,108,1.624
icr006036,854,0.2959,1.006,117.1,115.7,1.617
icr006055,863.3,0.4329,1.8,199.3,172.1,2.737
icr006056,838,0.352,1.975,142.2,189,1.791
icr006076,828.6,0.7049,1.636,185.4,131.2,2.647
icr006077,859.1,0.7309,1.694,191,133.1,3.102
icr006085,737.8,0.6079,1.54,125.3,139.1,3.846
icr006086,642.8,0.602,1.338,125.7,148,3.463
icr006101,650.4,1.18,1.963,64.6,172.9,2.871
icr006102,507,0.5053,1.427,58.68,125.6,2.83
icr006121,624.7,0.3992,0.7759,75.76,87.34,1.501
icr006122,745.8,0.281,0.6692,89.03,76.33,3.526
icr006142,485.1,0.8069,1,146.5,91.13,3.228
icr006143,486.8,0.5619,1.196,121,64.35,1.707
icr006152,719.8,0.4171,0.6894,166.3,34.1,3.048
icr006153,971.3,0.1197,0.6026,156.2,11.72,1.651
icr006164,523.5,1.634,1.218,131.6,101,4.498
icr006165,668.4,0.5363,0.9556,146.7,65.51,2.828
icr006179,685.7,0.6999,1.535,138.1,104.5,4.031
icr006180,634,0.6479,1.33,150.4,87.33,4.276
icr006454,946,1.31,2.4,58,128,1.26
icr006455,946.8,2.478,2.375,54.5,130.1,1.285
icr006474,1002,0.3331,1.159,217.3,21.78,1.38
icr006475,1095,0.3337,1.315,153.7,9.266,2.825
icr006492,822.5,0.7449,1.879,69.76,112.9,1.937
icr006493,1070,0.7579,1.694,83.66,87.07,1.365
icr006510,865.2,1.01,1.424,115.5,102.3,2.348
icr006511,1290,0.5459,1.047,127.1,37.09,1.539
icr006530,1070,0.7889,2.823,66.74,138.8,1.571
icr006531,1195,0.8279,2.707,63.92,123.6,0.79
icr006550,1098,0.6779,2.361,101.4,143.3,1.408
icr006551,1167,0.6839,2.341,97.68,144.4,1.23
icr006570,1151,0.5928,2.247,70.46,151.8,2.326
icr006571,1098,0.599,1.911,64.68,112.1,1.373
icr006586,1165,0.7899,2.814,126.8,254.7,1.952
icr006587,1386,0.7719,3.407,114.9,279.1,2.132
icr006606,1157,0.4274,1.764,147.3,31.74,1.953
icr006607,1261,0.5006,1.448,89.31,11.22,1.728
icr006626,793.2,0.3215,0.8042,104.2,47.16,1.693
icr006627,1189,0.4847,0.9301,116.5,38.54,1.292
icr006646,1357,0.3913,1.772,150.6,51.87,3.66
icr006647,1495,0.4771,1.696,111.7,44.92,1.965
icr006666,1189,0.4483,2.09,77,64.53,2.081
icr006667,1314,0.4936,1.898,58.22,61.88,1.432
icr006684,940.8,0.5776,1.805,96.45,142.8,1.911
icr006685,1055,0.6919,1.865,90.69,119.6,2.253
icr006704,1006,0.3356,1.305,118.9,131.7,2.464
icr006705,1308,0.5305,0.9912,117.4,89.46,2.882
icr006724,1189,0.4255,2.237,152,48.34,1.264
icr006725,1208,0.458,1.683,97.09,15.26,1.629
icr006744,899,0.2032,1.119,132.4,58.53,6.268
icr006745,1073,0.1316,0.5436,113.6,12.61,1.797
icr007730,1226,0.9632,0.729,163.8,67.68,2.62
icr007731,1471,1.003,0.7151,122.2,67.33,1.209
icr007750,875,0.3955,1.085,125.9,97.78,2.285
icr007751,953,0.3463,1.116,124,60.57,0.989
icr007770,579.4,0.4538,0.1575,236.3,8.099,0.882
icr007771,673.7,0.473,0.1983,217.8,22.01,1.808
icr007790,1535,0.6265,2.035,113.3,77.22,1.846
icr007791,1749,0.7119,2.17,108.5,63.32,1.534
icr007810,1513,1.144,1.203,123.5,65.27,2.551
icr007811,1734,0.9594,1.257,84.35,48.7,2.424
icr007830,1548,0.6862,1.059,96.45,29.78,2.422
icr007831,1855,0.768,1.107,74.36,13.41,2.902
icr007850,558.1,0.1135,0.1916,214.5,16.72,2.365
icr007851,565.4,0.0354,0.1947,166.9,4.867,1.092
icr007870,503.8,0.1181,0.11,228.1,11.38,2.309
icr007871,591.9,0.1411,0.111,263.5,2.77,1.027
icr007890,1262,0.9394,1.08,119.8,134.9,2.65
icr007891,1377,0.8714,0.9395,120.3,133.8,2.864
icr007910,1003,0.2083,0.8278,131.2,49.09,1.576
icr007911,1297,0.2109,0.8815,137.4,34.87,1.153
icr007928,786.8,0.6116,0.2432,256.1,38.87,2.384
icr007929,727.6,0.6142,0.2496,260.4,35.82,2.742
icr007949,889.2,0.1152,0.9507,89.68,129,0.863
icr007950,1175,0.2782,1.826,148.8,214.9,1.248
icr007967,1776,0.5877,1.212,88.85,55.41,2.438
icr007968,1545,0.9378,1.34,109.8,125.1,3.73
icr007987,1574,0.735,1.262,106.5,64.32,2.329
icr007988,1467,0.5529,1.067,103.3,33.39,4.141
icr008007,1253,0.5069,1.124,153.7,47.71,2.798
icr008008,1458,0.3603,1.369,134.1,29.11,0.98
icr008027,428.5,0.3349,0.3979,137,68.79,2.582
icr008028,480.4,0.1522,0.2673,151,23.69,1.731
icr009918,2119,0.3327,1.602,83.15,113.9,5.196
icr009919,2129,0.2502,3.342,149.3,156.3,2.971
icr009938,2304,0.1371,2.2,90.76,144.8,1.102
icr009939,2363,0.1308,1.841,71.42,170.5,1.872
icr009958,2384,0.1358,1.52,66.57,120.2,1.951
icr009959,2179,0.1054,1.704,135,172.6,1.399
icr009978,2201,0.1301,3.113,91.45,344.1,2.147
icr009979,1990,0.0662,2.543,99.97,447,1.501
icr009998,2628,0.1132,1.475,76.35,190.4,1.941
icr009999,2431,0.0067,2.015,88.69,207.4,0.844
icr010018,2605,0.1116,1.27,84.17,106.2,1.314
icr010019,2444,0.1159,1.691,91.57,144.1,1.308
icr010038,1576,0.2289,4.566,114.3,474.8,3.5
icr010039,1686,0.1184,2.881,108,455.3,2.699
icr010058,2630,0.1138,0.9957,60.24,119.6,1.421
icr010059,2538,0.0452,1.405,92.62,107.2,0.874
icr010078,2371,0.0638,2.687,67.42,178.8,1.569
icr010079,2368,0.01,2.874,83.89,247.8,0.991
icr010098,2457,0.133,2.139,50.6,166.1,1.063
icr010099,2325,0.0306,3.188,74.79,312.4,1.371
icr010118,2388,0.0839,2.762,102.4,298,1.337
icr010119,2242,0.0044,3.027,119.3,331.3,1.444
icr010138,2295,0.0624,2.061,111.6,211.7,1.414
icr010139,1449,0.1487,4.141,117.5,686.6,4.246
icr010158,1557,0.2062,4.307,167.9,551.3,3.576
icr010159,1594,0.1379,3.367,177.3,442.5,2.492
icr010178,1653,0.0679,2.433,154.2,480.4,3.002
icr010179,1515,0.0343,1.794,136,410.5,2.686
icr010198,2166,0.01,1.686,97.49,375.2,1.258
icr010199,2081,0.01,1.709,82.02,330.7,1.262
icr010218,1477,0.1441,4.109,120.9,674.3,3.621
icr010219,1523,0.1794,3.087,117.3,612.4,3.454
icr010335,802,0.11,2.2,165,70,1.02
icr010336,908,0.14,2.49,156,78,0.92
icr010355,778,0.18,2.36,128,67,1.7
icr010356,854,0.13,2.83,144,63,1.3
icr010375,800,0.09,1.5,211,83,1.31
icr010376,860,0.08,1.57,141,80,0.9
icr010395,771,0.58,1.57,108,104,1.59
icr010396,733,0.65,1.51,110,104,1.36
icr010415,1004,0.07,4.29,390,48,2.16
icr010416,886,0.12,3.7,280,45,3.26
icr010435,915,0.22,1,73,35,1.56
icr010436,1013,0.12,1.09,107,55,1.01
icr010455,638,0.27,2.33,109,164,1.43
icr010456,831,0.14,2.14,129,189,1.15
icr010475,768,0.13,1.58,184,67,0.94
icr010476,773,0.2,1.42,114,79,2.03
icr010495,668,0.22,1.35,121,141,1.61
icr010496,530,0.11,1.19,90,148,0.95
icr010515,1072,0.01,0.93,75,34,0.94
icr010516,1368,0.001,0.95,65,18,0.73
icr010535,758,0.2,1.64,133,93,0.59
icr010536,829,0.43,1.54,111,118,1.34
icr010555,945,0.05,1.52,248,92,2.18
icr010556,1088,0.11,1.45,145,74,1.39
icr010575,1121,0.07,1.22,92,83,0.88
icr010576,1086,0.08,1.32,120,112,2.04
icr010595,734,0.05,1.36,137,124,2.11
icr010596,1060,0.03,1.64,111,115,2.53
icr010615,939,0.15,1.62,224,56,1.02
icr010616,958,0.21,1.66,161,64,4.39
icr010635,803,0.04,0.99,166,62,1.85
icr010636,1176,0.02,1.01,110,40,1.02
icr010687,1045,0.08,1.85,254,48,1.25
icr010688,857,0.06,1.54,163,52,1.51
icr010707,611,0.31,1.99,214,57,1.41
icr010708,826,0.11,2.08,158,48,1.72
icr010727,1059,0.02,0.86,86,110,1.17
icr010728,1506,0.001,0.56,61,21,2.29
icr010747,652,0.18,1.38,121,78,1.22
icr010748,1539,0.12,1.78,121,62,1.25
icr010767,982,0.13,0.95,88,65,1.44
icr010768,1237,0.05,0.78,55,36,0.77
icr010787,1673,0.12,2.54,204,22,1.85
icr010788,1754,0.08,1.87,63,16,0.97
icr010808,1247,0.03,0.96,96,74,1.46
icr010809,1710,0.001,0.69,70,38,0.91
icr010826,1620,0.06,1.88,204,80,0.94
icr010827,1761,0.01,0.72,80,63,0.65
icr010845,587,0.03,1.73,204,51,1.9
icr010846,928,0.001,2.07,155,10,1.18
icr010865,1626,0.09,2.49,101,73,1.56
icr010866,2462,0.001,0.55,42,4,0.82
icr010885,2539,0.04,1,67,7,1.35
icr010886,2445,0.02,1.08,55,27,1.37
icr010905,1928,0.17,1.6,69,36,1.3
icr010906,2664,0.03,0.68,36,14,0.66
icr010925,1524,0.01,4.32,414,26,2.02
icr010926,1144,0.001,4.74,167,26,1.75
icr010945,673,0.1,1.5,105,82,0.97
icr010946,1037,0.05,2,132,90,2.23
