SSN,Site,Lat,Lon,Depth,wA,wCN,wK,wV1,wV2,A1,A2,A3,DA
icr005928,Chinyanghuku,-6.930703,36.091824,10,6.55834113,5.317020922,1.60217888,1.079465144,-1.199548667,0.570264729,0.233179588,0.196555683,1
icr005929,Chinyanghuku,-6.930703,36.091824,35,7.341671145,5.148047358,1.79501028,1.175669832,-1.05360674,0.59847056,0.198879071,0.202650369,1
icr005946,Chinyanghuku,-6.908367,36.086655,10,8.21422335,5.10144363,1.5278232,1.438911248,-1.205679587,0.573864693,0.179102594,0.247032713,1
icr005947,Chinyanghuku,-6.908367,36.086655,35,7.65598947,4.815477096,1.44156468,1.422274883,-1.206106019,0.573566981,0.181700868,0.244732151,1
icr005965,Chinyanghuku,-6.88353,36.09074,10,7.10803447,5.940776712,1.67316456,1.083929904,-1.267123105,0.55784994,0.24157592,0.20057414,1
icr005966,Chinyanghuku,-6.88353,36.09074,35,7.60489739,5.670629902,1.73786856,1.179750176,-1.182640809,0.57470588,0.215590892,0.209703228,1
icr005985,Chinyanghuku,-6.866802,36.099449,10,6.946992385,4.72475522,2.26999156,1.002683842,-0.733039641,0.655366876,0.182233916,0.162399207,1
icr005986,Chinyanghuku,-6.866802,36.099449,35,7.16351019,6.2834794,2.2670664,0.854393126,-1.019437211,0.600548696,0.243359355,0.15609195,1
icr005998,Chinyanghuku,-6.93858,36.1244,10,7.05913421,5.718843772,2.36950092,0.868132549,-0.881087297,0.626267563,0.222674265,0.151058173,1
icr005999,Chinyanghuku,-6.93858,36.1244,35,7.75416789,5.968606516,2.44570336,0.943743161,-0.892180731,0.625215148,0.212616085,0.162168767,1
icr006015,Chinyanghuku,-6.910832,36.116508,10,7.69306146,4.894000342,2.73263864,0.991573277,-0.582742358,0.682963988,0.163739269,0.153296743,1
icr006016,Chinyanghuku,-6.910832,36.116508,35,7.629215255,3.943205592,2.54943196,1.170736941,-0.436123421,0.712386842,0.11667691,0.170936248,1
icr006035,Chinyanghuku,-6.889563,36.122227,10,6.263938135,5.13741669,3.02594996,0.617228482,-0.529325285,0.68789645,0.213739199,0.098364352,1
icr006036,Chinyanghuku,-6.889563,36.122227,35,7.55150012,4.77829857,3.02395492,0.915228256,-0.457518985,0.705073975,0.158576871,0.136349154,1
icr006055,Chinyanghuku,-6.861752,36.118313,10,7.614061465,4.275720802,3.23761292,0.954802973,-0.278116392,0.738710845,0.128430572,0.132858583,1
icr006056,Chinyanghuku,-6.861752,36.118313,35,8.259854775,4.020272788,3.30808636,1.090062913,-0.194979875,0.755837543,0.096602452,0.147560005,1
icr006076,Chinyanghuku,-6.93122,36.1357,10,7.82321022,5.213839934,2.85138396,0.943379251,-0.603512139,0.678495679,0.17389058,0.147613741,1
icr006077,Chinyanghuku,-6.93122,36.1357,35,8.73130392,5.246449488,3.31275044,0.985666057,-0.459772767,0.705585178,0.148121209,0.146293613,1
icr006085,Chinyanghuku,-6.90524,36.1372,10,7.84656444,5.527410392,2.91325716,0.894106929,-0.640447668,0.671029142,0.186378369,0.14259249,1
icr006086,Chinyanghuku,-6.90524,36.1372,35,7.59741497,5.588139508,3.10133012,0.802092407,-0.588815316,0.679348696,0.193495842,0.127155462,1
icr006101,Chinyanghuku,-6.88657,36.1374,10,8.764615805,4.92614792,3.06242684,1.085120237,-0.475349641,0.704019036,0.135023566,0.160957398,1
icr006102,Chinyanghuku,-6.88657,36.1374,35,7.885015765,5.478006122,2.90142172,0.909324257,-0.635540323,0.672135306,0.183394847,0.144469847,1
icr006121,Chinyanghuku,-6.862098,36.141056,10,7.20829134,5.308964758,2.29346024,0.967336882,-0.839335156,0.635280492,0.201912934,0.162806573,1
icr006122,Chinyanghuku,-6.862098,36.141056,35,6.05769921,4.70396751,2.07667488,0.882323878,-0.817638305,0.638166421,0.211982693,0.149850887,1
icr006142,Chinyanghuku,-6.92808,36.16547,10,6.34222012,5.021215754,2.18377348,0.866487564,-0.832617752,0.635192899,0.21641389,0.148393211,1
icr006143,Chinyanghuku,-6.92808,36.16547,35,7.19725666,4.926952514,2.2924762,1.015364453,-0.765088102,0.649617977,0.18460266,0.165779363,1
icr006152,Chinyanghuku,-6.904988,36.163395,10,6.529072775,5.298628446,2.52855144,0.771623526,-0.739801418,0.651077093,0.21843374,0.130489168,1
icr006153,Chinyanghuku,-6.904988,36.163395,35,6.878668065,5.000959722,2.45054268,0.900607157,-0.713320336,0.657663147,0.1951756,0.147161254,1
icr006164,Chinyanghuku,-6.88444,36.166988,10,8.242924855,6.514150544,2.33713544,0.997205101,-1.025050809,0.601392427,0.222300866,0.176306706,1
icr006165,Chinyanghuku,-6.88444,36.166988,35,7.76947284,6.30043837,2.10589952,1.010028479,-1.095876512,0.588487518,0.229857321,0.181655161,1
icr006179,Chinyanghuku,-6.87134,36.1579,10,7.109716125,6.333725314,3.28112636,0.592566192,-0.657701814,0.663874783,0.234752741,0.101372476,1
icr006180,Chinyanghuku,-6.87134,36.1579,35,7.608922025,6.679341252,3.40650384,0.622624768,-0.673332869,0.661385132,0.232261639,0.106353229,1
icr006454,Pandambili,-6.12601,36.440201,10,4.41568592,2.976221376,2.1468248,0.743787968,-0.326664588,0.72697158,0.167182522,0.105845899,1
icr006455,Pandambili,-6.12601,36.440201,35,5.430744215,3.404159714,2.75280472,0.764355961,-0.212377839,0.748338518,0.148687216,0.102974266,1
icr006474,Pandambili,-6.08875,36.435982,10,4.56076173,3.149788972,1.72775856,0.893879277,-0.600510519,0.678398141,0.181047797,0.140554062,1
icr006475,Pandambili,-6.08875,36.435982,35,5.9424775,3.362584734,1.75122724,1.194150334,-0.652393122,0.672773837,0.142155505,0.185070658,1
icr006492,Pandambili,-6.06394,36.4405,10,6.732836455,3.672578966,2.98522688,0.946282105,-0.20721838,0.751685738,0.120207252,0.128107009,1
icr006493,Pandambili,-6.06394,36.4405,35,7.341746725,3.379712212,2.80772224,1.157992967,-0.185416998,0.75849697,0.084942311,0.156560718,1
icr006510,Pandambili,-6.04693,36.443859,10,5.123473725,3.205703238,1.5894268,1.092906939,-0.701558037,0.662365741,0.164224143,0.173410116,1
icr006511,Pandambili,-6.04693,36.443859,35,6.01786855,3.182539874,1.33892796,1.426611617,-0.865810317,0.636439236,0.135321574,0.228239189,1
icr006530,Pandambili,-6.11749,36.4577,10,5.865858275,2.721626004,1.32352032,1.504515351,-0.720934401,0.664207383,0.103959499,0.231833118,1
icr006531,Pandambili,-6.11749,36.4577,35,8.097471145,3.151764286,1.54855544,1.731879139,-0.710639865,0.669100618,0.067849664,0.263049718,1
icr006550,Pandambili,-6.0882,36.463261,10,6.957875905,3.058062188,1.990659,1.3823342,-0.429315704,0.716428898,0.08344364,0.200127462,1
icr006551,Pandambili,-6.0882,36.463261,35,7.0406549,3.140849632,1.94315548,1.396397232,-0.480180159,0.707224954,0.088129066,0.204645981,1
icr006570,Pandambili,-6.06997,36.464588,10,4.290506545,3.204620478,1.64477568,0.833741284,-0.666989658,0.665335117,0.1991642,0.135500684,1
icr006571,Pandambili,-6.06997,36.464588,35,5.32219244,3.139487708,1.75405804,1.091852695,-0.582127653,0.684397513,0.148340329,0.167262159,1
icr006586,Pandambili,-6.05575,36.457722,10,7.40748243,3.771546652,2.0453878,1.307939122,-0.611897765,0.681746764,0.119335434,0.198917803,1
icr006587,Pandambili,-6.05575,36.457722,35,8.231625645,3.192526838,2.14757968,1.527208567,-0.396471238,0.724398752,0.056903512,0.218697736,1
icr006606,Pandambili,-6.12151,36.4836,10,4.82797482,3.075975904,1.16293308,1.249524418,-0.972676887,0.614381604,0.176726262,0.208892134,1
icr006607,Pandambili,-6.12151,36.4836,35,6.256153395,3.024469658,1.06171176,1.667008543,-1.046853283,0.606185056,0.122926274,0.27088867,1
icr006626,Pandambili,-6.09622,36.4863,10,5.860000825,4.115648738,2.20335992,0.887679722,-0.624813042,0.67383053,0.185259611,0.140909859,1
icr006627,Pandambili,-6.09622,36.4863,35,7.150567115,3.448563146,1.94982808,1.352456314,-0.57021646,0.690026728,0.106936359,0.203036913,1
icr006646,Pandambili,-6.0698,36.4918,10,6.195916135,2.911741302,1.83628604,1.314189607,-0.461006213,0.709682108,0.098109278,0.192208613,1
icr006647,Pandambili,-6.0698,36.4918,35,6.758117965,3.009053568,1.72747548,1.44880147,-0.554964517,0.69411035,0.09017189,0.21571776,1
icr006666,Pandambili,-6.05855,36.490952,10,5.353274715,2.618268416,1.01050124,1.588304844,-0.952066704,0.622645668,0.122213154,0.255141178,1
icr006667,Pandambili,-6.05855,36.490952,35,5.78920126,2.90967421,0.95973556,1.656696688,-1.10913861,0.594552067,0.132868975,0.272578957,1
icr006684,Pandambili,-6.12214,36.5064,10,5.13380929,3.47700304,1.33412908,1.158164293,-0.957892023,0.615908096,0.188694048,0.195397855,1
icr006685,Pandambili,-6.12214,36.5064,35,5.8294854,3.866261502,1.36811216,1.240091756,-1.038856216,0.602041395,0.187057817,0.210900788,1
icr006704,Pandambili,-6.0906,36.50845,10,6.321681255,3.776201964,1.92247716,1.137091409,-0.675104191,0.66783049,0.153921615,0.178247895,1
icr006705,Pandambili,-6.0906,36.50845,35,7.11366518,3.437636308,1.65491264,1.457001918,-0.731035894,0.661717292,0.112573631,0.225709077,1
icr006724,Pandambili,-6.07987,36.5067,10,5.166743275,2.884272242,1.12978576,1.402122994,-0.937244591,0.622930824,0.148658703,0.228410473,1
icr006725,Pandambili,-6.07987,36.5067,35,6.44376185,3.021717126,1.09694848,1.68524503,-1.013293039,0.612620001,0.115632251,0.271747748,1
icr006744,Pandambili,-6.05373,36.5135,10,5.34286357,3.645539388,3.78507616,0.484635449,0.037561673,0.790792661,0.157832792,0.051374547,1
icr006745,Pandambili,-6.05373,36.5135,35,5.491321585,3.50820769,3.5892522,0.582192498,0.022838603,0.78935915,0.144910206,0.065730644,1
icr007730,Kiberashi,-5.381047,37.445068,10,9.164585165,2.963833866,3.30572736,1.432368701,0.109172873,0.816487123,0.003458458,0.180054419,1
icr007731,Kiberashi,-5.381047,37.445068,35,8.96159618,2.603244822,2.61024024,1.646463849,0.002683588,0.789371482,0,0.210630102,1
icr007750,Kiberashi,-5.352508,37.448967,10,7.287329125,4.27196559,2.44539332,1.083996122,-0.55786807,0.688772166,0.146281171,0.164946664,1
icr007751,Kiberashi,-5.352508,37.448967,35,6.76973839,4.215896822,2.2310074,1.055739545,-0.636409106,0.673902316,0.16114856,0.164949124,1
icr007770,Kiberashi,-5.334045,37.453918,10,6.334869965,3.811677464,2.0790204,1.081448254,-0.60617255,0.679822104,0.153159774,0.167018122,1
icr007771,Kiberashi,-5.334045,37.453918,35,5.263787995,3.850189606,1.7825278,0.930364649,-0.770089926,0.647575772,0.198257227,0.154167001,1
icr007790,Kiberashi,-5.319002,37.450642,10,9.32604294,3.379560684,2.61022676,1.525625854,-0.258308627,0.749881347,0.03858384,0.211534813,1
icr007791,Kiberashi,-5.319002,37.450642,35,10.26319715,3.136873186,2.4363078,1.748945739,-0.252742807,0.753848476,0.003726936,0.242424589,1
icr007810,Kiberashi,-5.382455,37.469246,10,11.90759121,3.603402654,2.86684552,1.746174229,-0.228666277,0.758256278,0.000915694,0.240828029,1
icr007811,Kiberashi,-5.382455,37.469246,35,11.89115256,2.808059016,2.41579124,2.024712607,-0.150466634,0.740485051,0,0.25952048,1
icr007830,Kiberashi,-5.353312,37.466049,10,10.14438539,3.937157584,0.92402704,2.228263789,-1.449472981,0.539253746,0.091291751,0.369454502,1
icr007831,Kiberashi,-5.353312,37.466049,35,11.31553528,3.964348658,0.9092934,2.380066044,-1.472429033,0.537014582,0.071189983,0.391795436,1
icr007850,Kiberashi,-5.33593,37.468575,10,5.00857323,3.471761464,2.97610092,0.591350707,-0.154048064,0.756828205,0.167275192,0.075896603,1
icr007851,Kiberashi,-5.33593,37.468575,35,4.845868385,3.698509392,2.94307492,0.512578752,-0.228474946,0.742052814,0.189305424,0.068641763,1
icr007870,Kiberashi,-5.30758,37.47094,10,3.24480056,3.464601056,1.447752,0.494332184,-0.872585482,0.622916286,0.278625166,0.098458549,1
icr007871,Kiberashi,-5.30758,37.47094,35,3.667916295,3.580022752,1.51546204,0.605438628,-0.859648786,0.626766851,0.259917146,0.113316003,1
icr007890,Kiberashi,-5.381767,37.496696,10,10.87044466,3.719997638,1.13074284,2.223664923,-1.190848236,0.586932738,0.057249311,0.355817952,1
icr007891,Kiberashi,-5.381767,37.496696,35,11.22570845,3.254353726,1.13817032,2.351331595,-1.050571717,0.61450695,0.018904508,0.366588542,1
icr007910,Kiberashi,-5.362477,37.496891,10,8.84044144,3.801393578,5.22800232,0.912851103,0.318661509,0.848317804,0.054664235,0.097017961,1
icr007911,Kiberashi,-5.362477,37.496891,35,9.12953494,3.027628392,4.63012388,1.188444189,0.42480402,0.870376532,0,0.129623647,1
icr007928,Kiberashi,-5.339337,37.493351,10,6.568487745,3.575251224,2.26810436,1.11439161,-0.455091047,0.708143891,0.127831115,0.164024993,1
icr007929,Kiberashi,-5.339337,37.493351,35,6.309361715,3.734124826,1.95286108,1.131506695,-0.648217956,0.672719903,0.151162584,0.176117513,1
icr007949,Kiberashi,-5.311833,37.492508,10,5.653384,3.291360352,2.87935496,0.810427567,-0.133734663,0.763461735,0.131085094,0.105453171,1
icr007950,Kiberashi,-5.311833,37.492508,35,5.859736295,3.172827196,2.59713768,0.951450805,-0.200213104,0.753046882,0.11847668,0.128476438,1
icr007967,Kiberashi,-5.377933,37.515114,10,11.93207913,2.971859712,1.55978428,2.283150363,-0.644640393,0.671188879,0,0.328813796,1
icr007968,Kiberashi,-5.377933,37.515114,35,14.26999527,2.798761096,1.15419804,2.762490388,-0.885771088,0.604901515,0,0.395105492,1
icr007987,Kiberashi,-5.35679,37.509857,10,10.81147337,2.701713274,1.76822552,2.131568805,-0.423909605,0.705464213,0,0.294539152,1
icr007988,Kiberashi,-5.35679,37.509857,35,9.919440415,2.737062338,1.74348972,2.017479415,-0.450996515,0.713456944,0,0.286544186,1
icr008007,Kiberashi,-5.3337,37.515327,10,7.818807685,3.259291176,1.4114234,1.724637137,-0.836911042,0.645696895,0.085919644,0.268383461,1
icr008008,Kiberashi,-5.3337,37.515327,35,9.256566025,3.174410876,1.36766732,1.988291742,-0.842015462,0.648225362,0.046335634,0.305439004,1
icr008027,Kiberashi,-5.308519,37.51255,10,3.626309505,3.580475582,1.95113564,0.421682476,-0.607084053,0.670968837,0.254052748,0.074978415,1
icr008028,Kiberashi,-5.308519,37.51255,35,3.94614517,3.356638146,2.04488904,0.546129961,-0.495596392,0.693186539,0.220067263,0.086746199,1
icr009918,Mbinga,-11.1227,35.1269,10,7.41802584,2.645641308,0.40053124,2.633250628,-1.887877009,0.463659926,0.0883326,0.448007474,1
icr009919,Mbinga,-11.1227,35.1269,35,7.34754749,2.61247338,0.36170884,2.696900959,-1.977213128,0.448007255,0.090612684,0.461380062,3
icr009938,Mbinga,-11.099628,35.130199,10,8.824739695,2.27382622,0.14129736,3.660361942,-2.778352645,0.312807738,0.051085556,0.636106706,3
icr009939,Mbinga,-11.099628,35.130199,35,8.06041805,2.035684208,0.11657504,3.74154597,-2.860052076,0.298795533,0.04966165,0.651542817,3
icr009958,Mbinga,-11.0745,35.125401,10,8.41058019,2.286720878,0.1935728,3.382642446,-2.46922047,0.366214593,0.051973284,0.581812122,3
icr009959,Mbinga,-11.0745,35.125401,35,8.689149175,2.393051976,0.17720808,3.454674111,-2.603000172,0.342468414,0.058943988,0.598587599,3
icr009978,Mbinga,-11.0597,35.126598,10,8.46548906,2.773680338,0.39616372,2.785165477,-1.946102799,0.454911804,0.072951936,0.47213626,3
icr009979,Mbinga,-11.0597,35.126598,35,10.35973171,2.365189492,0.36290856,3.219065942,-1.874462519,0.471821113,0,0.5281792,3
icr009998,Mbinga,-11.1232,35.145699,10,8.62885523,2.206970926,0.0666586,4.151182632,-3.499792162,0.186098308,0.073040727,0.740860965,3
icr009999,Mbinga,-11.1232,35.145699,35,9.04061507,2.231997424,0.06609244,4.211505628,-3.519597801,0.183236465,0.066487967,0.750275568,3
icr010018,Mbinga,-11.1061,35.149799,10,8.769452925,2.527737566,0.06880192,4.061165211,-3.603848287,0.165705623,0.100769087,0.733525291,3
icr010019,Mbinga,-11.1061,35.149799,35,8.556619645,2.293823536,0.05781572,4.209123265,-3.68071466,0.15346455,0.088497033,0.758038416,3
icr010038,Mbinga,-11.0794,35.151798,10,11.39801196,2.652350698,0.80393372,2.739780033,-1.193684754,0.578615892,0,0.421386357,1
